fecha,municipio,entidad_federativa,porc_pob,pibe,pib_mun
2012-09-30,Iztapalapa,CDMX,0.2048287736,2592835.4,531087.2951286654
2012-12-31,Iztapalapa,CDMX,0.2048287736,2598596.7,532267.3751420073
2013-03-31,Iztapalapa,CDMX,0.2048287736,2673066.3,547520.8919804897
2013-06-30,Iztapalapa,CDMX,0.2048287736,2479978.8,507971.0161579997
2013-09-30,Iztapalapa,CDMX,0.2048287736,2668439.8,546573.2516594293
2013-12-31,Iztapalapa,CDMX,0.2048287736,2626906.9,538066.1186883779
2014-03-31,Iztapalapa,CDMX,0.2048287736,2748552.0,562982.5353358273
2014-06-30,Iztapalapa,CDMX,0.2048287736,2503000.3,512686.4817694321
2014-09-30,Iztapalapa,CDMX,0.2048287736,2686402.8,550252.590919606
2014-12-31,Iztapalapa,CDMX,0.2048287736,2666305.5,546136.0856079349
2015-03-31,Iztapalapa,CDMX,0.2048287736,2869792.9,587816.1601929874
2015-06-30,Iztapalapa,CDMX,0.2048287736,2587230.0,529939.1479211281
2015-09-30,Iztapalapa,CDMX,0.2048287736,2751624.2,563611.8102940812
2015-12-31,Iztapalapa,CDMX,0.2048287736,2705692.6,554203.6969965954
2016-03-31,Iztapalapa,CDMX,0.2048287736,2957233.6,605726.531536713
2016-06-30,Iztapalapa,CDMX,0.2048287736,2632606.6,539233.5812492658
2016-09-30,Iztapalapa,CDMX,0.2048287736,2777401.3,568891.7020740457
2016-12-31,Iztapalapa,CDMX,0.2048287736,2827543.6,579162.287888529
2017-03-31,Iztapalapa,CDMX,0.2048287736,3045539.9,623814.2026668667
2017-06-30,Iztapalapa,CDMX,0.2048287736,2684909.3,549946.6791462345
2017-09-30,Iztapalapa,CDMX,0.2048287736,2789710.7,571413.0213797976
2017-12-31,Iztapalapa,CDMX,0.2048287736,2824719.7,578583.87191476
2018-03-31,Iztapalapa,CDMX,0.2048287736,3126459.6,640388.8855779467
2018-06-30,Iztapalapa,CDMX,0.2048287736,2706598.0,554389.1489682129
2018-09-30,Iztapalapa,CDMX,0.2048287736,2895109.0,593001.6259083224
2018-12-31,Iztapalapa,CDMX,0.2048287736,2898492.7,593694.7050295528
2019-03-31,Iztapalapa,CDMX,0.2048287736,3132839.1,641695.5907391278
2019-06-30,Iztapalapa,CDMX,0.2048287736,2679500.0,548838.6988612
2019-09-30,Iztapalapa,CDMX,0.2048287736,2895581.9,593098.4894353579
2019-12-31,Iztapalapa,CDMX,0.2048287736,2804127.1,574365.9149115246
2020-03-31,Iztapalapa,CDMX,0.2048287736,2856971.8,585190.0300037845
2020-06-30,Iztapalapa,CDMX,0.2048287736,2151114.3,440610.1039424225
2020-09-30,Iztapalapa,CDMX,0.2048287736,2577710.4,527989.2599279655
2020-12-31,Iztapalapa,CDMX,0.2048287736,2650584.1,542915.8905266598
2021-03-31,Iztapalapa,CDMX,0.2048287736,2944607.2,603140.28150973
2021-06-30,Iztapalapa,CDMX,0.2048287736,2659692.8,544781.6143767501
2021-09-30,Iztapalapa,CDMX,0.2048287736,2669881.7,546868.5942680832
2021-12-31,Iztapalapa,CDMX,0.2048287736,2594129.6,531352.3845274586
2022-03-31,Iztapalapa,CDMX,0.2048287736,2966769.4,607679.7377560078
2022-06-30,Iztapalapa,CDMX,0.2048287736,2706016.8,554270.1024849964
2022-09-30,Iztapalapa,CDMX,0.2048287736,2840890.3,581896.0760811361
2022-12-31,Iztapalapa,CDMX,0.2048287736,2795685.9,572636.9142678123
2023-03-31,Iztapalapa,CDMX,0.2048287736,3108307.2,636670.75174805
2023-06-30,Iztapalapa,CDMX,0.2048287736,2859903.6,585790.5470022251
2023-09-30,Iztapalapa,CDMX,0.2048287736,2999960.2,614478.1686148108
2023-12-31,Iztapalapa,CDMX,0.2048287736,2829452.9,579553.3674659635
